file_name,info
HOLX.OQ_FY2022_Corporate Sustainability Report 2022.pdf,Successfully downloaded
HOLX.OQ_FY2022_2022 Sustainability Report.pdf,Successfully downloaded
COG.N_FY2022_2022SUSTAINABILITYREPORT.pdf,Successfully downloaded
SWEDa.ST_FY2022_Annual andSustainability Report2022.pdf,Successfully downloaded
SNAP.N_FY2022_2022CitizenSnapReport.pdf,Successfully downloaded
9613.T_FY2022_Integrated Report 2022.pdf,Successfully downloaded
APSE.NS_FY2022_Information Memorandum on ESG.pdf,Successfully downloaded
REP.MC_FY2022_Integrated Management Report 2022.pdf,Successfully downloaded
EXPD.OQ_FY2022_Sustainability Report2022.pdf,Successfully downloaded
8801.T_FY2022_ESG Report 2022.pdf,Successfully downloaded
BOLL.PA_FY2022_Progress Report 2021 • 2022.pdf,Successfully downloaded
LRTI.NS_FY2022_Integrated Annual Report 2021-22.pdf,Successfully downloaded
"FFH.TO_FY2022_Environment, Social & Governance (ESG)Performance Report 2022.pdf",Successfully downloaded
4452.T_FY2022_Environmental Statement.pdf,Successfully downloaded
"MOH.N_FY2022_ENVIRONMENTAL,SOCIAL ANDGOVERNANCEREPORT 2022.pdf",Successfully downloaded
600019.SS_FY2022_2021 可持续发展报告.pdf,Successfully downloaded
COAL.NS_FY2022_Business Responsibility andSustainability Report - FY 2021-22.pdf,Successfully downloaded
1929.HK_FY2022_Sustainability Report 2022.pdf,Successfully downloaded
SPLK.OQ_FY2022_2022Global ImpactReport.pdf,Successfully downloaded
"CMS.N_FY2022_2022Environmental,Social, Governance andSustainability Report.pdf",Successfully downloaded
SGSN.S_FY2022_SGS 2022 Integrated Report.pdf,Successfully downloaded
WTC.AX_FY2022_Annual Report 2022.pdf,Successfully downloaded
POW.TO_FY2022_2021-2022 Sustainability Website.pdf,Successfully downloaded
IOC.NS_FY2022_Integrated Annual Report 2021-22.pdf,Successfully downloaded
NTAP.OQ_FY2022_2022 ESG Report.pdf,Successfully downloaded
FOXA.OQ_FY2022_CORPORATE SOCIALRESPONSIBILITYREPORT2022.pdf,Successfully downloaded
PTC.OQ_FY2022_SUSTAINABILITY HIGHLIGHTS.pdf,Successfully downloaded
SHBa.ST_FY2022_Sustainable Impact Report 2022.pdf,Successfully downloaded
UPM.HE_FY2022_annual report 2022.pdf,Successfully downloaded
STO.AX_FY2022_SustainabilityReport 2022.pdf,Successfully downloaded
